# StockTicker, ListedExchCode, CompanyName, Sector, Industry, Total_Mark, Total_Price_Valuation_Mark, Total_Stock_Holder_Mark, Total_Analyst_Mark, EpsRegressGrowth_Reuters, EpsRegressGrowth_Reuters_rm, EpsRegressGrowth_Nasdaq, EpsRegressGrowth_Nasdaq_rm, M1QEps, M1QEps_rm, M2QEps, M2QEps_rm, M3QEps, M3QEps_rm, M4QEps, M4QEps_rm, M1QvsM2Q, M1QvsM2Q_rm, M2QvsM3Q, M2QvsM3Q_rm, M3QvsM4Q, M3QvsM4Q_rm, Pe, PEG_Reuters, PEG_Reuters_rm, PEG_Nasdaq, PEG_Nasdaq_rm, PEvsIndustry, PEvsIndustry_rm, PEvsSector, PEvsSector_rm, ReturnOnEquity, ReturnOnEquity_rm, PercentageHeldByInstitutions_Nasdaq, PercentageHeldByInstitutions_Nasdaq_rm, NetSharesTradedByInstitutions, NetSharesTradedByInstitutions_rm, NetNumOfSharesTradedByInsidersIn3M, NetNumOfSharesTradedByInsidersIn3M_rm, ClosePrice, Beta, Fair_Price_PE, Fair_Price_PE_vs_Close_Price_rm, Fair_Price_PEG_Reuters, Fair_Price_PEG_Reuters_vs_Close_Price_rm, Fair_Price_PEG_Nasdaq, Fair_Price_PEG_Nasdaq_vs_Close_Price_rm, PeterLynchAnalysis_rm, BenjaminGarhamAnalysis_rm, MomentumStrategyAnalysis_rm, JamesOShaughnessyAnalysis_rm, MotleyFoolAnalysis_rm, DavidDremanAnalysis_rm, MartinZweigAnalysis_rm, KennethFisherAnalysis_rm, VolumeChange, VolumeChange_rm
'PBIB', 'IXIC', 'Porter Bancorp Inc ', 'Financials', 'Banks', '217.92357400000003', '59.397019', '0', '3.333333', '56.0083333333', '17.291894', '0', '0', '0.308', '0', '8.626', '18.248004', '0.287', '0', '0.273', '0', '-96.42939948991422', '0', '2905.574912891986', '19.640206', '5.12820512820511', '0', '1.45', '0.025889004612424275', '20.970858', NULL, '0', '-0.9168577981651376', '20.006733', '-0.9259070005109862', '18.040478', '98.23', '21.139326', '0.2295870759289176', '0', '711283', '0', '148140', '16.591419', '13.76', '1.04', '295.69234096551725', '26.442796', '1427.6926893879731', '32.954223', NULL, '0', '0', '0', '0', '0', '0', '3.333333', '0', '0', '0.7021', '3.264304'
'IMKTA', 'IXIC', 'Ingles Markets Inc ', 'Consumer Non-Cyclicals', 'Food Retail & Distribution', '89.907346', '15.789925', '0', '0', '16.675', '5.053287', '16.36', '0', '0.459', '0', '3.546', '7.858537', '0.956', '0', '0.569', '0', '-87.05583756345177', '0', '270.9205020920502', '5.007405', '68.01405975395431', '4.022981', '5.43', '0.3256371814092953', '14.018661', '0.3319070904645477', '0', '-0.9395457581830328', '21.011244', '-0.8624620060790273', '17.145306', '21.43', '0', '0.8908786098527747', '0', '-432', '0', '0', '0', '30.35', '0.5', '83.7307872928177', '0', '120.36300673342542', '12.183199', '118.08928276814632', '3.606726', '0', '0', '0', '0', '0', '0', '0', '0', '-0.1589', '0'
'MBUU', 'IXIC', 'Malibu Boats Inc ', '', 'Recreational Products', '84.227943', '17.733877', '10.976794', '12.25', '15.0178571429', '1.048104', '16.92', '0', '0.759', '0', '1.988', '0', '0.305', '0', '0.533', '0', '-61.82092555331992', '0', '551.8032786885245', '12.08851', '-42.7767354596623', '0', '11.86', '0.7897265160500649', '8.95313', '0.7009456264775412', '0', '-0.6144343302990898', '0', '-0.37677351550183924', '0', '89.28', '21.177528', '1.0105450913520098', '10.976794', '279668', '0', '2047', '0', '42.24', '1.15', '122.71378887015177', '0', '158.87053023413202', '10.219622', '178.99287135198003', '7.514255', '0', '0', '0', '0', '12.25', '0', '0', '0', '-0.3357', '0'
'COHR', 'IXIC', 'Coherent Inc ', 'Technology', 'Semiconductors', '83.68027899999998', '0', '11.974493', '4.818182', '15.0011904762', '0', '19.22', '0', '2.611', '4.302013', '0.008', '0', '2.929', '11.639162', '2.533', '11.717169', '32537.5', '39.22926', '-99.726869238648', '0', '15.633636004737461', '0', '21.38', '1.4252202206165066', '0', '1.1123829344432883', '0', '0.01279014684983415', '0', '0.8367697594501717', '0', '17.76', '0', '1.0120319623688336', '11.974493', '19205', '0', '6803', '0', '173.38', '0.96', '233.24848703461174', '0', '301.63836054238595', '0', '386.46861386252056', '0', '4.818182', '0', '0', '0', '0', '0', '0', '0', '-0.2276', '0'
'MTD', 'NYSE', 'Mettler-Toledo International Inc ', 'Industrials', 'Industrial Machinery & Equipment', '76.060931', '0', '0', '0', '12.935714285700001', '0', '11.26', '0', '3.575', '10.305649', '5.679', '13.999753', '3.99', '16.739994', '3.842', '16.694187', '-37.04877619299173', '0', '42.330827067669176', '0', '3.8521603331598264', '0', '32.47', '2.5101049144146987', '0', '2.883658969804618', '0', '0.3729386892177591', '0', '0.42788038698328945', '0', '89.71', '18.321348', '0.9343963690780924', '0', '34418', '0', '-23190', '0', '554.83', '1.19', '609.2294838219894', '0', '679.3809083746335', '0', '591.3727575720346', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0244', '0'
'REGN', 'IXIC', 'Regeneron Pharmaceuticals Inc ', 'Healthcare', 'Biotechnology & Medical Research', '75.704992', '8.195676', '0', '0', '38.1821428571', '13.385737', '3.52', '0', '4.16', '13.402685', '4.314', '11.471318', '3.318', '14.584265', '3.339', '14.665311', '-3.5697728326379186', '0', '30.018083182640144', '0', '-0.6289308176100628', '0', '47.17', '1.2353942568529441', '0', '13.400568181818182', '0', '-0.43885320009517015', '0', '0.44030534351145034', '0', '24.06', '0', '0.6853496620503852', '0', '421709', '0', '-50736', '0', '295.31', '1.59', '298.23987337078654', '0', '981.6756423040331', '8.195676', '90.50037536768694', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4329', '0'
'DHIL', 'IXIC', 'Diamond Hill Investment Group Inc ', 'Financials', 'Investment Management & Fund Operators', '73.355456', '0', '0', '0', '9.26785714286', '0', '0', '0', '3.72', '12.304251', '4.456', '12.513593', '3.669', '15.756799', '3.664', '15.780813', '-16.517055655296232', '0', '21.44998637230855', '0', '0.13646288209607782', '0', '12.85', '1.3865125240843508', '0', NULL, '17', '-0.5499124343257443', '0', '-0.343382728666326', '0', '30.91', '0', '0.6059957264957265', '0', '19099', '0', '-806', '0', '198', '0.87', '401.6406116731518', '0', '320.892052737731', '0', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0289', '0'
'NEE', 'NYSE', 'NextEra Energy Inc ', 'Utilities', 'Electric Utilities', '72.477576', '0', '0', '0', '50.8392857143', '16.246662', '7.49', '0', '8.355', '17.282438', '0.586', '0', '1.789', '2.582024', '1.681', '0', '1325.7679180887374', '19.371775', '-67.24427054220234', '0', '6.424747174300993', '0', '13.09', '0.2574780470670158', '16.994677', '1.747663551401869', '0', '0.0463629096722622', '0', '-0.34843205574912894', '0', '20.21', '0', '0.7750775562632697', '0', '1578938', '0', '-147940', '0', '162.42', '0.25', '92.93861000763941', '0', '407.3217713851966', '0', '60.00949904803614', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3535', '0'
'SIVB', 'IXIC', 'SVB Financial Group ', 'Financials', 'Banks', '70.487308', '3.199331', '0', '21.088235', '21.7297619048', '8.195234', '20.93', '0', '3.632', '11.295582', '2.556', '5.496054', '2.788', '10.598829', '2.316', '10.614043', '42.097026604068866', '0', '-8.321377331420365', '0', '20.379965457685657', '0', '28.29', '1.3019010573581515', '0', '1.3516483516483517', '0', '0.5707940033314822', '0', '0.41449999999999987', '0', '14.76', '0', '0.9150626205696561', '0', '1169617', '0', '-31659', '0', '319.46', '1.41', '477.044570328738', '0', '893.6262871742323', '3.199331', '860.7364531879729', '0', '0', '0', '5.588235', '0', '0', '0', '15.5', '0', '-0.4405', '0'
'HNNA', 'IXIC', 'Hennessy Advisors Inc ', 'Financials', 'Investment Management & Fund Operators', '70.02271', '3.539907', '0', '11.121212', '6.87976190476', '0', '0', '0', '0.578', '0', '1.554', '0', '0.43', '0', '0.508', '0', '-62.80566280566281', '0', '261.3953488372093', '4.002994', '-15.354330708661424', '0', '6.03', '0.8764838207304729', '6.008314', NULL, '7', '-0.7887915936952714', '8.00601', '-0.6918753193663771', '15.998206', '44.23', '14.346067', '0.18721875', '0', '159992', '0', '0', '0', '18.14', '0.62', '55.881488358208955', '3.539907', '33.1423564472496', '0', NULL, '0', '9.454545', '0', '0', '0', '0', '1.666667', '0', '0', '-0.7634', '0'
'RDIB', 'IXIC', 'Reading International Inc ', '', 'Leisure & Recreation', '69.07764200000001', '22.099694', '0', '0', '7.05119047619', '0', '0', '0', '0.335', '0', '0.888', '0', '0.067', '0', '0.813', '0', '-62.27477477477477', '0', '1225.3731343283582', '15.045972', '-91.7589175891759', '0', '7.32', '1.0381225730204988', '2.959149', NULL, '0', '-0.8688642063776424', '17.98881', '-0.6153441933788755', '10.984017', '29.52', '0', '0.07242296252230815', '0', '0', '0', '0', '0', '24.05', '1.23', '121.0780493852459', '16.913024', '73.59865419835418', '5.18667', NULL, '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.9851', '0'
'ISCA', 'IXIC', 'International Speedway Corp ', '', 'Leisure & Recreation', '66.808482', '0', '0', '0', '8.06547619048', '0', '7.75', '0', '0.576', '0', '1.721', '0', '0.006', '0', '0.295', '0', '-66.53108657757119', '0', '28583.333333333332', '38.065719', '-97.96610169491525', '0', '16.52', '2.048236162360656', '0', '2.131612903225806', '0', '-0.7040487280544607', '0', '-0.1318970047293747', '0', '7.54', '0', '0.9481192244897959', '0', '400008', '0', '887806', '28.742763', '42.6', '1.23', '95.03005314769976', '0', '66.0743647450708', '0', '63.48990619781666', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.3336', '0'
'FB', 'IXIC', 'Facebook Inc ', 'Technology', 'Internet Services', '65.890446', '0', '31.393034', '5.529412', '16.3369047619', '2.109728', '22.75', '4.382514', '1.694', '0', '2.209', '3.454229', '1.592', '0', '1.32', '0', '-23.31371661385243', '0', '38.756281407035175', '0', '20.606060606060606', '0', '37.41', '2.2899074546388656', '0', '1.6443956043956043', '0', '0.09130688448074675', '0', '-0.9699850767823617', '19.021529', '23.25', '0', '0.7342287662119218', '0', '27212986', '31.393034', '-7997456', '0', '186.9', '0.68', '101.78571002405776', '0', '143.35029748150015', '0', '199.622836469596', '0', '0', '0', '0', '5.529412', '0', '0', '0', '0', '-0.4831', '0'
'TTMI', 'IXIC', 'TTM Technologies Inc ', 'Technology', 'Semiconductors', '64.34157400000001', '31.798139', '15.000305', '0', '4.02619047619', '0', '23.19', '6.495446', '0.094', '0', '0.859', '0', '0.163', '0', '0.18', '0', '-89.05704307334109', '0', '426.9938650306748', '11.047684', '-9.444444444444432', '0', '12.8', '3.179183914843664', '0', '0.5519620526088831', '0', '-0.3936522974893415', '0', '0.09965635738831624', '0', '17.45', '0', '1.0465376480255209', '15.000305', '271687', '0', '-7540', '0', '16.75', '1.8', '70.57219921875', '13.70098', '24.494578998130567', '0', '141.0835603347252', '18.097159', '0', '0', '0', '0', '0', '0', '0', '0', '0.2172', '0'
'SCHN', 'IXIC', 'Schnitzer Steel Industries Inc ', 'Basic Materials', 'Steel', '63.95910000000001', '24.727681', '0', '30.237721999999998', '9.304761904760001', '0', '-17.33', '0', '1.175', '0', '0.642', '0', '0.622', '0', '0.603', '0', '83.02180685358256', '0', '3.2154340836012985', '0', '3.1509121061359835', '0', '10.16', '1.0919140225181354', '0', '-0.5862665897287941', '0', '-0.39988186650915536', '0', '-0.6092307692307692', '8.993697', '16.15', '0', '0.9576344309819371', '0', '854419', '0', '1981', '0', '30.65', '1.45', '131.05725812007873', '15.545279', '105.1255674739661', '9.182402', '-195.79502441560035', '0', '6.818182', '8.833333', '0', '0', '0', '0', '0', '14.586207', '-0.4896', '0'
'CASH', 'IXIC', 'Meta Financial Group Inc ', 'Financials', 'Banks', '62.609162', '9.605807', '0', '0', '16.548809523800003', '4.052611', '32.58', '14.575592', '3.232', '8.305089', '0.856', '0', '0.186', '0', '1.04', '0', '277.570093457944', '16.026143', '360.2150537634409', '10.04392', '-82.11538461538461', '0', '20.66', '1.2484281706359244', '0', '0.6341313689379988', '0', '0.18463302752293576', '0', '0.055697496167603555', '0', '11.98', '0', '0.8020796158612143', '0', '26328', '0', '-1920', '0', '110.45', '1.12', '179.39475043562442', '0', '255.92840987317118', '0', '503.851807689021', '9.605807', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4386', '0'
'M', 'NYSE', 'Macy\"s Inc ', '', 'Department Stores', '59.630868', '0', '8.078681', '2.833333', '12.7785714286', '0', '-11.76', '0', '0.449', '0', '2.453', '4.559466', '0.117', '0', '0.378', '0', '-81.69588259274357', '0', '1996.5811965811963', '18.209357', '-69.04761904761905', '0', '10.04', '0.7856903297914238', '9.954381', '-0.8537414965986394', '0', '-0.860748959778086', '15.99565', '-0.4787123572170302', '0', '20.65', '0', '0.8998776172577219', '0', '3768048', '8.078681', '-105737', '0', '34.13', '0.76', '77.40561621513945', '0', '85.27010308447912', '0', '-78.47327988707241', '0', '0', '2.833333', '0', '0', '0', '0', '0', '0', '-0.3596', '0'
'VZ', 'NYSE', 'Verizon Communications Inc ', 'Telecommunications Services', 'Integrated Telecommunications Services', '55.54854399999999', '0', '11.059255', '12.921567999999999', '4.70952380952', '0', '2.34', '0', '1.107', '0', '0.457', '0', '0.885', '0', '1.067', '0', '142.2319474835886', '8.002592', '-48.36158192090395', '0', '-17.05716963448922', '0', '12.52', '2.6584428715896125', '0', '5.350427350427351', '0', '-0.41385767790262173', '0', '-0.5473608098336948', '3.978612', '71.69', '19.586517', '0.6526288941858909', '0', '5319519', '11.059255', '-45477', '0', '48.59', '0.56', '65.11587814696486', '0', '26.43661883714949', '0', '13.135444384818772', '0', '0', '0', '0', '8.588235', '0', '4.333333', '0', '0', '-0.1496', '0'
'MIK', 'IXIC', 'Michaels Companies Inc ', '', 'SMiscellaneous Specialty Retailers', '54.67783300000001', '16.697563000000002', '20.00331', '0', '7.10714285714', '0', '8.13', '0', '1.158', '0', '0.437', '0', '0.188', '0', '0.381', '0', '164.98855835240272', '12.003118', '132.44680851063828', '0', '-50.65616797900263', '0', '8.65', '1.2170854271361677', '0', '1.063960639606396', '0', '-0.7641123534224161', '3.992712', '-0.5454545454545454', '1.98113', '0', '0', '1.1021599002477327', '20.00331', '1033424', '0', '-29746', '0', '18.91', '1.22', '79.90823840462427', '14.525669', '48.95855739690221', '2.171894', '56.00465329565478', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.5576', '0'
'HSIC', 'IXIC', 'Henry Schein Inc ', 'Healthcare', 'Medical Equipment, Supplies & Distribution', '50.85129799999999', '0', '35.225615', '1.588235', '1.7999999999999998', '0', '8.44', '0', '0.91', '0', '0.867', '0', '0.872', '0', '0.855', '0', '4.959630911188007', '0', '-0.5733944954128489', '0', '1.9883040935672502', '0', '23.7', '13.166666666666668', '0', '2.808056872037915', '0', '-0.26374650512581543', '0', '-0.2763358778625954', '0', '18.72', '0', '1.0668093159134384', '16.983876', '12544697', '18.241739', '113691', '14.037448', '70.62', '1.04', '92.84724273417723', '0', '14.407330769096463', '0', '67.55437316176342', '0', '0', '0', '0', '1.588235', '0', '0', '0', '0', '-0.1344', '0'
'HII', 'NYSE', 'Huntington Ingalls Industries Inc ', 'Industrials', 'Shipbuilding', '50.841503', '0', '0', '0', '5.25357142857', '0', '2.65', '0', '3.482', '9.349553', '2.637', '6.48616', '3.275', '13.634681', '3.21', '13.983529', '32.04398938187334', '0', '-19.480916030534345', '0', '2.024922118380057', '0', '17.83', '3.393881713121249', '0', '6.728301886792452', '0', '1.558106169296987', '0', '-0.21591908531222515', '0', '34.09', '4.375281', '0.8727494606741573', '0', '16093', '0', '57983', '3.012299', '224.73', '0.95', '358.74810731912504', '0', '162.47489712632063', '0', '81.9553865858346', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-0.4126', '0'
'MKSI', 'IXIC', 'MKS Instruments Inc ', 'Industrials', 'Industrial Machinery & Equipment', '49.529135', '11.180514', '0', '8.588235', '24.205952381', '10.074917', '10.43', '0', '1.887', '0', '1.735', '0', '1.379', '0', '2.19', '8.605793', '8.76080691642651', '0', '25.81580855692531', '0', '-37.03196347031963', '0', '15.73', '0.6498401613128415', '11.079676', '1.5081495685522532', '0', '-0.34648940589945987', '0', '-0.31039017974572547', '0', '26.41', '0', '0.9604672588459844', '0', '1738462', '0', '-190535', '0', '113.5', '0.97', '209.69842943420215', '0', '437.5819135564471', '11.180514', '188.54781198264897', '0', '0', '0', '8.588235', '0', '0', '0', '0', '0', '-0.4772', '0'
'MOMO', 'IXIC', 'Momo Inc ', 'Technology', 'Software', '48.494281', '8.546576', '20.446573', '0', '2.89880952381', '0', '27.17', '10.173042', '0.234', '0', '0.19', '0', '0.146', '0', '0.198', '0', '23.15789473684211', '0', '30.136986301369873', '0', '-26.262626262626267', '0', '25.71', '8.8691581108815', '0', '0.9462642620537357', '0', '-0.27679324894514756', '0', '1.2087628865979383', '0', '38.18', '9.32809', '0.5832295021848175', '0', '12240419', '20.446573', '0', '0', '39.31', '1.59', '72.83739350058343', '0', '18.201873273188607', '0', '170.60275701817687', '8.546576', '0', '0', '0', '0', '0', '0', '0', '0', '-0.6191', '0'
'WB', 'IXIC', 'Weibo Corp ', 'Technology', 'Internet Services', '41.984769', '13.503744', '0', '0', '6.33452380952', '0', '49.51', '20.182149', '0.438', '0', '0.58', '0', '0.448', '0', '0.327', '0', '-24.482758620689648', '0', '29.464285714285698', '0', '37.003058103975526', '0', '57.72', '9.111971433946469', '0', '1.1658250858412442', '0', '0.7061779485663613', '0', '3.9587628865979374', '0', '37.72', '8.298876', '0.4367218619979403', '0', '878710', '0', '0', '0', '102.4', '2.45', '130.2254968814969', '0', '71.1134922933116', '0', '555.8158922933543', '13.503744', '0', '0', '0', '0', '0', '0', '0', '0', '-0.2142', '0'
'TACT', 'IXIC', 'TransAct Technologies Inc ', 'Technology', 'Computer Hardware', '41.701743', '12.644539', '0', '0', '0.121428571429', '0', '42.19', '17.038251', '0.086', '0', '0.121', '0', '0.239', '0', '0.115', '0', '-28.925619834710748', '0', '-49.372384937238486', '0', '107.82608695652173', '12.018953', '19.33', '159.18823529355578', '0', '0.4581654420478786', '0', '-0.10467809170912468', '0', '0.6606529209621992', '0', '17.41', '0', '0.41502674952715485', '0', '85479', '0', '22093', '0', '10.75', '0.96', '15.995733057423694', '0', '0.16744301845884396', '0', '58.17758428385394', '12.644539', '0', '0', '0', '0', '0', '0', '0', '0', '-0.949', '0'
